dataset,model,cal_size,test_size,CIR_brier,CIR_logloss,CIR_kuiper,CIR_ece-15,CIR_accuracy,CIR_time
heloc,LimiX_GPU,6972,3487,0.3639798991224428,0.5931928256833902,0.019635561853647232,0.026779089123010635,0.7324347496032715,0.005078217014670372
in_vehicle_coupon_recommendation,LimiX_GPU,8456,4228,0.3518950483481793,0.5300140253723892,0.011408492922782898,0.024172188714146614,0.7393566966056824,0.005800358019769192
jm1,LimiX_GPU,7256,3629,0.2663469946208676,0.5351778374974142,0.00856107473373413,0.01313509326428175,0.814549446105957,0.0050352930556982756
online_shoppers_intention,LimiX_GPU,8220,4110,0.14312724050338207,0.22898581725322106,0.006717856042087078,0.011403973214328289,0.9002432823181152,0.005326420068740845
polish_companies_bankruptcy,LimiX_GPU,3940,1970,0.05238770143174824,0.1747609023829241,0.003349682316184044,0.013873584568500519,0.9634518027305603,0.003680919064208865
qsar-biodeg,LimiX_GPU,702,352,0.1769810779603444,1.0006158982585567,0.031786829233169556,0.051229748874902725,0.8721590638160706,0.002751359948888421
seismic-bumps,LimiX_GPU,1722,862,0.10886549829670324,0.2995849626822714,0.011617335490882397,0.017649855464696884,0.9338747262954712,0.0028242850676178932
taiwanese_bankruptcy_prediction,LimiX_GPU,4546,2273,0.04411126904578428,0.11673382761319433,0.00452448520809412,0.008673182688653469,0.9709634780883789,0.003814477939158678
APSFailure,TabM_GPU,50666,25334,0.008886817535504046,0.01656417475810917,0.0008251185063272715,0.001396754290908575,0.9942370057106018,0.017401637975126505
Amazon_employee_access,TabM_GPU,21846,10923,0.08910344025738916,0.16749244027811688,0.004271794576197863,0.005194511730223894,0.9434221386909485,0.009272972121834755
Bank_Customer_Churn,TabM_GPU,6666,3334,0.196322336229786,0.32110791873359634,0.006954956334084272,0.021620355546474457,0.8686262965202332,0.00492995185777545
Bioresponse,TabM_GPU,2500,1251,0.28582044924910677,0.44434777084912486,0.01936963200569153,0.03842449188232422,0.7881694436073303,0.0034537608735263348
Diabetes130US,TabM_GPU,47678,23840,0.15461223042144123,0.281717989351697,0.003169724717736244,0.003966010641306639,0.9119547009468079,0.01754757994785905
E-CommereShippingData,TabM_GPU,7332,3667,0.3571372277534929,0.49847090979431186,0.020136453211307526,0.02809855155646801,0.6863921284675598,0.004738996969535947
Fitness_Club,TabM_GPU,1000,500,0.3157706945769165,0.4826440722881989,0.021676763892173767,0.04105568304657936,0.7580000162124634,0.0028865139465779066
GiveMeSomeCredit,TabM_GPU,100000,50000,0.09688668682650356,0.17520521821103877,0.001255297102034092,0.0021450924687087536,0.9386399984359741,0.04179033008404076
HR_Analytics_Job_Change_of_Data_Scientists,TabM_GPU,12772,6386,0.2703420483934969,0.42528027848963457,0.013326570391654968,0.01862521469593048,0.8047291040420532,0.006549671990796924
Is-this-a-good-customer,TabM_GPU,1148,575,0.1947149863681479,0.33376561373923685,0.02183997631072998,0.04358629882335663,0.8799999952316284,0.002896068152040243
Marketing_Campaign,TabM_GPU,1493,747,0.14419972440184692,0.22610156555955913,0.017708158120512962,0.03032681904733181,0.8955823183059692,0.0032273009419441223
NATICUSdroid,TabM_GPU,4994,2497,0.08479937315340255,0.2736510441608903,0.007677348330616951,0.015164336189627647,0.9407289028167725,0.004048492992296815
bank-marketing,TabM_GPU,30140,15071,0.1720870676502314,0.2999798993992307,0.004139423370361328,0.008195102214813232,0.8935040831565857,0.011996905086562037
blood-transfusion-service-center,TabM_GPU,498,250,0.3059225575504711,0.4933380547208648,0.04550423473119736,0.09352854639291763,0.800000011920929,0.0025081411004066467
churn,TabM_GPU,3333,1667,0.06558193455459145,0.13720550408489846,0.015255851671099663,0.016899380832910538,0.9628074169158936,0.0035378059837967157
coil2000_insurance_policies,TabM_GPU,6548,3274,0.1061131520283072,0.20325677105649234,0.007236190140247345,0.009343157522380352,0.9404398202896118,0.004653003066778183
credit-g,TabM_GPU,666,334,0.33457297185859947,0.5096331571242421,0.04641382396221161,0.07655506581068039,0.742514967918396,0.002672371221706271
credit_card_clients_default,TabM_GPU,20000,10000,0.2638811025579294,0.4213584299149776,0.006819435395300388,0.0131702721118927,0.8220999836921692,0.008926040027290583
customer_satisfaction_in_airline,TabM_GPU,86586,43294,0.05250686814140963,0.0847551632684635,0.0010530641302466393,0.0028359745629131794,0.9624428153038025,0.030959260882809758
diabetes,TabM_GPU,512,256,0.34228039893549134,0.5152981596553163,0.05713671073317528,0.08967646211385727,0.765625,0.0026958868838846684
hazelnut-spread-contaminant-detection,TabM_GPU,1600,800,0.10671422620606666,0.2833177409883609,0.011448928155004978,0.021394776180386543,0.925000011920929,0.0028741080313920975
heloc,TabM_GPU,6972,3487,0.3663354660761003,0.5703005850952301,0.01358870044350624,0.02493204176425934,0.7252652645111084,0.005229973932728171
in_vehicle_coupon_recommendation,TabM_GPU,8456,4228,0.30072593630036903,0.48289253414027095,0.013333320617675781,0.024324266240000725,0.7819299697875977,0.005768373841419816
jm1,TabM_GPU,7256,3629,0.2711370487439717,0.4302107568714657,0.006410747766494751,0.009791161864995956,0.8106916546821594,0.005143332993611693
kddcup09_appetency,TabM_GPU,33333,16667,0.03353479236453908,0.07643960104842193,0.0009806165471673012,0.0003573829890228808,0.9821803569793701,0.01267442898824811
online_shoppers_intention,TabM_GPU,8220,4110,0.14197910734595845,0.24712799432551627,0.007266380358487368,0.010203774087131023,0.9014598727226257,0.005300596822053194
polish_companies_bankruptcy,TabM_GPU,3940,1970,0.0409218411708894,0.07707395669467419,0.010448615066707134,0.011513859033584595,0.9736040830612183,0.003692988073453307
qsar-biodeg,TabM_GPU,702,352,0.18367266459857232,0.55215002520853,0.038062263280153275,0.06550068408250809,0.8806818127632141,0.002937623066827655
seismic-bumps,TabM_GPU,1722,862,0.11167876810906686,0.20689388218801033,0.009242581203579903,0.014344397932291031,0.9338747262954712,0.002946255961433053
taiwanese_bankruptcy_prediction,TabM_GPU,4546,2273,0.04415324486996617,0.08152525392096001,0.004359922371804714,0.01026192493736744,0.9736031889915466,0.003965585958212614
APSFailure,RealMLP_GPU,50666,25334,0.010797429411743338,0.022720465634029786,0.0007106614648364484,0.0011942875571548939,0.9927765130996704,0.01898556901142001
Amazon_employee_access,RealMLP_GPU,21846,10923,0.07960065482149326,0.15140638807118714,0.004509355872869492,0.007694852072745562,0.9504714608192444,0.009551983093842864
Bank_Customer_Churn,RealMLP_GPU,6666,3334,0.19849217675009598,0.3235882480639037,0.00849152822047472,0.020789356902241707,0.8671265840530396,0.005138954147696495
Bioresponse,RealMLP_GPU,2500,1251,0.27991038735036194,0.4377291205968535,0.023810114711523056,0.044293977320194244,0.7993605136871338,0.0034473168198019266
Diabetes130US,RealMLP_GPU,47678,23840,0.15301338403502282,0.2785765641220947,0.003884151577949524,0.00617079297080636,0.9119547009468079,0.018601855961605906
E-CommereShippingData,RealMLP_GPU,7332,3667,0.35816604661351237,0.5010909884166663,0.018771745264530182,0.029203400015830994,0.6760294437408447,0.004835193976759911
Fitness_Club,RealMLP_GPU,1000,500,0.31725857834713006,0.48627555138272216,0.024896573275327682,0.041706934571266174,0.7739999890327454,0.0029230101499706507
GiveMeSomeCredit,RealMLP_GPU,100000,50000,0.0973060162793978,0.17582590522149094,0.001071779988706112,0.00201021577231586,0.938319981098175,0.042498572962358594
HR_Analytics_Job_Change_of_Data_Scientists,RealMLP_GPU,12772,6386,0.2713158676873724,0.426340416320801,0.008889861404895782,0.012806490994989872,0.8014406561851501,0.006443382008001208
Is-this-a-good-customer,RealMLP_GPU,1148,575,0.1863519060732321,0.3180248807272441,0.01539638265967369,0.02437577024102211,0.8852173686027527,0.0027664960362017155
Marketing_Campaign,RealMLP_GPU,1493,747,0.14673070958974443,0.23427051120552933,0.011972897686064243,0.018551938235759735,0.8995984196662903,0.003183678025379777
NATICUSdroid,RealMLP_GPU,4994,2497,0.08375928516168782,0.23986333928232845,0.005448617041110992,0.011258441023528576,0.9423307776451111,0.00429440988227725
bank-marketing,RealMLP_GPU,30140,15071,0.17148486901448004,0.2994613272487814,0.004401092417538166,0.006155108101665974,0.8943666815757751,0.011955820955336094
blood-transfusion-service-center,RealMLP_GPU,498,250,0.3055283247832879,0.5062912656088525,0.03172597661614418,0.06754329800605774,0.8080000281333923,0.0025195609778165817
churn,RealMLP_GPU,3333,1667,0.0639905546930237,0.13722255456295349,0.020736809819936752,0.02482072077691555,0.962207555770874,0.0034377342090010643
coil2000_insurance_policies,RealMLP_GPU,6548,3274,0.10609499423928898,0.20283076674706274,0.006738007068634033,0.010569414123892784,0.9404398202896118,0.004512134939432144
credit-g,RealMLP_GPU,666,334,0.32553830340925943,0.49409523700832625,0.047767750918865204,0.05194995552301407,0.757485032081604,0.0027111039962619543
credit_card_clients_default,RealMLP_GPU,20000,10000,0.26386017853750265,0.4305220123355124,0.007239296101033688,0.014364160597324371,0.8233000040054321,0.008817160036414862
customer_satisfaction_in_airline,RealMLP_GPU,86586,43294,0.05338462063083886,0.08510176164077679,0.0010027848184108734,0.002557795960456133,0.9621887803077698,0.03049039700999856
diabetes,RealMLP_GPU,512,256,0.3020784911770945,0.46852808741129287,0.020118067041039467,0.04315109923481941,0.78125,0.0026498690713196993
hazelnut-spread-contaminant-detection,RealMLP_GPU,1600,800,0.08858381813131974,0.4654485257997004,0.013104211539030075,0.02552426978945732,0.9462500214576721,0.0029338819440454245
heloc,RealMLP_GPU,6972,3487,0.36270356790960495,0.54259593623401,0.010513093322515488,0.0279256422072649,0.734728991985321,0.005268885986879468
in_vehicle_coupon_recommendation,RealMLP_GPU,8456,4228,0.30412361584924047,0.4675114380745054,0.017589956521987915,0.027058124542236328,0.7812204360961914,0.005715389037504792
jm1,RealMLP_GPU,7256,3629,0.26824854018885125,0.4247097651046772,0.00912884995341301,0.017211269587278366,0.8142738938331604,0.004857246996834874
