dataset,model,cal_size,test_size,CDF-Spline_brier,CDF-Spline_logloss,CDF-Spline_kuiper,CDF-Spline_ece-15,CDF-Spline_accuracy,CDF-Spline_time
numerai28_6,NeuralNetFastAI,86688,9632,0.4989486897913559,0.6920962041592353,0.0053026676177978516,0.0032581656705588102,0.5179609656333923,0.4105552069377154
numerai28_6,NeuralNetTorch,86688,9632,0.49884767226812815,0.691994165224059,0.004892036318778992,0.003256738418713212,0.5237749218940735,0.40985155710950494
numerai28_6,RandomForest,86688,9632,0.49937237324406386,0.6925178498285299,0.00911732017993927,0.005385377444326878,0.5129776000976562,0.407831619028002
numerai28_6,XGBoost,86688,9632,0.4992246404601312,0.6923714703549019,0.008126094937324524,0.004250300582498312,0.5133928656578064,0.411225656978786
ozone-level-8hr,CatBoost,2280,254,0.0863165535234457,,0.019826631993055344,0.04045441374182701,0.9370078444480896,0.01128749386407435
ozone-level-8hr,ExtraTrees,2280,254,0.07378883423400741,,0.01564037799835205,0.024697965011000633,0.9448819160461426,0.011378651950508356
ozone-level-8hr,LightGBM,2280,254,0.08092781637851569,,0.01864844560623169,0.03899481147527695,0.9370078444480896,0.011295889969915152
ozone-level-8hr,LinearModel,2280,254,0.07723545194599192,,0.02037418633699417,0.045932382345199585,0.9370078444480896,0.011233675992116332
ozone-level-8hr,NeuralNetFastAI,2280,254,0.07892642554724891,,0.021368466317653656,0.03953667730093002,0.9409449100494385,0.011307141045108438
ozone-level-8hr,NeuralNetTorch,2280,254,0.07242768799463468,,0.015347583219408989,0.026054032146930695,0.9448819160461426,0.01122648804448545
ozone-level-8hr,RandomForest,2280,254,0.07467788485707583,,0.011290986090898514,0.022484658285975456,0.9488189220428467,0.011323189130052924
ozone-level-8hr,XGBoost,2280,254,0.0853076495641317,0.14360784360143666,0.019708869978785515,0.051196590065956116,0.9370078444480896,0.011244567111134529
parity5_plus_5,CatBoost,1011,113,3.3382287885799875e-05,,0.0010552890598773956,0.0019017701270058751,1.0,0.0054756340105086565
parity5_plus_5,ExtraTrees,1011,113,0.05274592531783501,,0.024626147001981735,0.06038856878876686,0.9646017551422119,0.005602688994258642
parity5_plus_5,LightGBM,1011,113,0.00035094477875094037,,0.0028844685293734074,0.004663990810513496,1.0,0.0054613868705928326
parity5_plus_5,LinearModel,1011,113,0.4861964409774334,0.6792168715900666,0.04571857303380966,0.061606086790561676,0.5840708017349243,0.005531793925911188
parity5_plus_5,NeuralNetFastAI,1011,113,6.513442605172855e-07,,0.00016252361820079386,0.00022429572709370404,1.0,0.005469346884638071
parity5_plus_5,NeuralNetTorch,1011,113,2.9396438876625042e-05,,0.0008112490177154541,0.0014177750563248992,1.0,0.005448957905173302
parity5_plus_5,RandomForest,1011,113,0.062495506179053834,,0.026820635423064232,0.055305007845163345,0.9557521939277649,0.0054971089120954275
parity5_plus_5,XGBoost,1011,113,0.0036180224780926187,,0.010750070214271545,0.01883271150290966,1.0,0.005451590986922383
pbcseq,CatBoost,1750,195,0.19072086587704348,,0.04143011197447777,0.07693750411272049,0.8820512890815735,0.008963942993432283
pbcseq,ExtraTrees,1750,195,0.23598847267562917,,0.032083068042993546,0.06368609517812729,0.8461538553237915,0.008859290974214673
pbcseq,LightGBM,1750,195,0.2012039218684821,,0.03996352478861809,0.09061522036790848,0.8871794939041138,0.008784240111708641
pbcseq,LinearModel,1750,195,0.397027164404749,0.5754761975131443,0.04761989414691925,0.10756023228168488,0.656410276889801,0.008890563854947686
pbcseq,NeuralNetFastAI,1750,195,0.29033786489633645,0.4540773962368886,0.02921384386718273,0.054864175617694855,0.7897436022758484,0.008909720927476883
pbcseq,NeuralNetTorch,1750,195,0.2976853107124556,0.46963324311213545,0.06065238267183304,0.12671153247356415,0.7897436022758484,0.008872208883985877
pbcseq,RandomForest,1750,195,0.23805112443701645,,0.04987531527876854,0.09948395937681198,0.8666666746139526,0.00893158302642405
pbcseq,XGBoost,1750,195,0.18905568039053694,0.3273810715459102,0.04407155141234398,0.07875055819749832,0.8974359035491943,0.008891819976270199
pc1,CatBoost,998,111,0.0800775129571502,,0.022931909188628197,0.052098728716373444,0.9639639854431152,0.005424020113423467
pc1,ExtraTrees,998,111,0.08258324292439177,0.16472797268554668,0.016204629093408585,0.03582029417157173,0.954954981803894,0.005402959184721112
pc1,LightGBM,998,111,0.08408825394489097,,0.021611535921692848,0.05398181453347206,0.9639639854431152,0.005380664952099323
pc1,LinearModel,998,111,0.09398847572870918,,0.03317556530237198,0.026631716638803482,0.9459459185600281,0.005423053167760372
pc1,NeuralNetFastAI,998,111,0.09174642124087341,,0.031932808458805084,0.055956218391656876,0.954954981803894,0.005450082011520863
pc1,NeuralNetTorch,998,111,0.09388415713477227,0.17283210093655207,0.02288026362657547,0.037966761738061905,0.9459459185600281,0.0053825220093131065
pc1,RandomForest,998,111,0.07899996265387857,0.15792284785575386,0.01823982410132885,0.02095910534262657,0.954954981803894,0.005478250095620751
pc1,XGBoost,998,111,0.08179806606331137,,0.016592063009738922,0.025134526193141937,0.954954981803894,0.005500496132299304
pc2,CatBoost,5030,559,0.006335037220349718,,0.002924401545897126,0.0031498807948082685,0.9964221715927124,0.024449936114251614
