dataset,model,cal_size,test_size,Quadratic_brier,Quadratic_logloss,Quadratic_kuiper,Quadratic_ece-15,Quadratic_accuracy,Quadratic_time
numerai28_6,XGBoost,86688,9632,0.4991440258019341,0.692290989537497,0.007606104016304016,0.004612058866769075,0.5133928656578064,0.03618757100775838
ozone-level-8hr,CatBoost,2280,254,0.08242250347148025,0.13570014195287244,0.016555607318878174,0.0312621109187603,0.9370078444480896,0.005829938920214772
ozone-level-8hr,ExtraTrees,2280,254,0.07724587038021823,0.12751207258939806,0.01909482106566429,0.03158990666270256,0.9409449100494385,0.011939459014683962
ozone-level-8hr,LightGBM,2280,254,0.08174609395874208,0.13229880193107446,0.01972271129488945,0.04551693797111511,0.9291338324546814,0.00545720593072474
ozone-level-8hr,LinearModel,2280,254,0.0739671205682914,0.11985611930473715,0.014945819973945618,0.04259238392114639,0.9409449100494385,0.006499805022031069
ozone-level-8hr,NeuralNetFastAI,2280,254,0.07382717317688917,0.11945922875122642,0.0160655677318573,0.03212445601820946,0.9448819160461426,0.0056186451110988855
ozone-level-8hr,NeuralNetTorch,2280,254,0.07110511582181284,0.11897797892780596,0.012652378529310226,0.025849932804703712,0.9448819160461426,0.005415947176516056
ozone-level-8hr,RandomForest,2280,254,0.0770996704289769,0.12648418916877405,0.017489567399024963,0.027186524122953415,0.9448819160461426,0.012281889794394374
ozone-level-8hr,XGBoost,2280,254,0.08394007758880463,0.13973160594991857,0.020608223974704742,0.04765957221388817,0.9370078444480896,0.005795603850856423
parity5_plus_5,CatBoost,1011,113,3.615965813305307e-10,6.091753408293126e-06,3.282122179371072e-06,6.092246167099802e-06,1.0,0.0029183279257267714
parity5_plus_5,ExtraTrees,1011,113,0.05131769049940233,0.0875005926513579,0.020156394690275192,0.037775859236717224,0.9646017551422119,0.004682653117924929
parity5_plus_5,LightGBM,1011,113,1.672862794313253e-10,1.3977753940646575e-06,7.647283268852334e-07,1.4737271385456552e-06,1.0,0.004057527985423803
