dataset,model,cal_size,test_size,n_classes,Isotonic_brier,Isotonic_logloss,Isotonic_ece-15,Isotonic_accuracy,Isotonic_time
volcanoes-b2,NeuralNetTorch,9601,1067,5,0.051220943704645215,0.21530920203978232,0.008616120554506779,0.969072163105011,0.02252907189540565
volcanoes-b2,RandomForest,9601,1067,5,0.05045844357846524,0.1362669212408358,0.008825162425637245,0.9700093865394592,0.022849424043670297
volcanoes-b2,XGBoost,9601,1067,5,0.04963474608235679,0.13259756410465692,0.011146550066769123,0.9700093865394592,0.022784262895584106
volcanoes-b5,CatBoost,8990,999,5,0.0558275631138134,0.13784930951677876,0.008613732643425465,0.966966986656189,0.021865339018404484
volcanoes-b5,ExtraTrees,8990,999,5,0.05705178082008643,0.1395894758286937,0.014169924892485142,0.966966986656189,0.022042659111320972
volcanoes-b5,LightGBM,8990,999,5,0.05681997316122083,0.13921377350651976,0.00892516691237688,0.9639639854431152,0.02278093807399273
volcanoes-b5,LinearModel,8990,999,5,0.056721400225210696,0.21918569905897065,0.012094718404114246,0.965965986251831,0.022146824980154634
volcanoes-b5,NeuralNetFastAI,8990,999,5,0.057453468282427034,0.142162478695628,0.010440551675856113,0.965965986251831,0.021908741910010576
volcanoes-b5,NeuralNetTorch,8990,999,5,0.05711764438649261,0.3027679385811575,0.008749358355998993,0.965965986251831,0.021914690034464
volcanoes-b5,RandomForest,8990,999,5,0.056691968510077115,0.14037137428731017,0.01059223897755146,0.966966986656189,0.02203989215195179
volcanoes-b5,XGBoost,8990,999,5,0.05586315523844296,0.14301168908210282,0.013212817721068859,0.9679679870605469,0.0222141498234123
volcanoes-b6,CatBoost,9117,1013,5,0.06358235323357057,0.17031863981643489,0.016485530883073807,0.9644619822502136,0.02215714193880558
volcanoes-b6,ExtraTrees,9117,1013,5,0.06332257281937397,0.17157882603457408,0.012059626169502735,0.9644619822502136,0.02205540402792394
volcanoes-b6,LightGBM,9117,1013,5,0.06324828441270189,0.17187244480063774,0.01621653512120247,0.9624876379966736,0.021954274037852883
volcanoes-b6,LinearModel,9117,1013,5,0.06454312733806052,0.2528074052244536,0.01763318106532097,0.9644619822502136,0.022203739965334535
volcanoes-b6,NeuralNetFastAI,9117,1013,5,0.0646778955522244,0.17409157808950396,0.018909718841314316,0.9624876379966736,0.021780895069241524
volcanoes-b6,NeuralNetTorch,9117,1013,5,0.06453874993547833,0.17196173456459754,0.017696116119623184,0.9624876379966736,0.021233698818832636
volcanoes-b6,RandomForest,9117,1013,5,0.06394845478431715,0.17132492013391284,0.013953090645372868,0.9615004658699036,0.0214980929158628
volcanoes-b6,XGBoost,9117,1013,5,0.06251324515451033,0.17043059014841605,0.011013379320502281,0.9634748101234436,0.02219667611643672
volcanoes-d1,CatBoost,7877,876,5,0.09899269511367288,0.25019422878904435,0.009184437803924084,0.9452054500579834,0.02061003283597529
volcanoes-d1,ExtraTrees,7877,876,5,0.10037105924652515,0.25674049133515914,0.016261309385299683,0.9440639019012451,0.02052059816196561
