dataset,model,cal_size,test_size,n_classes,Venn-Abers_brier,Venn-Abers_logloss,Venn-Abers_ece-15,Venn-Abers_accuracy,Venn-Abers_time
autoUniv-au7-700,ExtraTrees,630,70,3,0.5523377879193277,0.9257235156381538,0.17005211114883423,0.4285714328289032,0.016773455077782273
autoUniv-au7-700,LightGBM,630,70,3,0.533037025687769,0.8826374244143003,0.09472242742776871,0.4714285731315613,0.017019689083099365
autoUniv-au7-700,LinearModel,630,70,3,0.6730777126932167,1.1094842061449701,0.08732739090919495,0.4000000059604645,0.012031208025291562
autoUniv-au7-700,NeuralNetFastAI,630,70,3,0.6210731472143038,1.0389405306125319,0.09313169866800308,0.5142857432365417,0.015127348015084863
autoUniv-au7-700,NeuralNetTorch,630,70,3,0.6331501588364615,1.0521546758202367,0.09578347206115723,0.4571428596973419,0.015944845974445343
autoUniv-au7-700,RandomForest,630,70,3,0.5390295692732471,0.8861493567757011,0.1397576630115509,0.44285714626312256,0.016810324043035507
autoUniv-au7-700,XGBoost,630,70,3,0.5441461169680748,0.8996322389622577,0.11852289736270905,0.48571428656578064,0.01725165592506528
balance-scale,CatBoost,562,63,3,0.05437527909846812,0.1276732855441808,0.07267991453409195,0.9682539701461792,0.03397532110102475
balance-scale,ExtraTrees,562,63,3,0.13010135429793895,0.2762374619654338,0.13843141496181488,0.8888888955116272,0.027920474065467715
balance-scale,LightGBM,562,63,3,0.06858047747518468,0.13639683987543055,0.06205916777253151,0.9682539701461792,0.0255955730099231
balance-scale,LinearModel,562,63,3,0.08033171063826691,0.16894577970080196,0.05803985148668289,0.9523809552192688,0.031744539039209485
balance-scale,NeuralNetFastAI,562,63,3,0.019060723713219138,0.049796595340469,0.041492968797683716,1.0,0.02024030010215938
balance-scale,NeuralNetTorch,562,63,3,0.0071879557700832005,0.030687462543033547,0.027775123715400696,1.0,0.013360947836190462
balance-scale,RandomForest,562,63,3,0.13229918897029233,0.2800263862754113,0.1302642822265625,0.8888888955116272,0.02318668318912387
balance-scale,XGBoost,562,63,3,0.0434511162995149,0.10826504520523281,0.08753186464309692,1.0,0.027179535944014788
baseball,CatBoost,1206,134,3,0.08201824163479125,0.15448434001754294,0.04590240493416786,0.9328358173370361,0.08619339694269001
baseball,ExtraTrees,1206,134,3,0.07962318460051548,0.1552591868381281,0.05216318741440773,0.9477611780166626,0.015878727892413735
baseball,LightGBM,1206,134,3,0.07498601846664997,0.14895213787373515,0.0389334037899971,0.9477611780166626,0.0904563320800662
baseball,LinearModel,1206,134,3,0.07488136833449235,0.1506814830927862,0.056162748485803604,0.9477611780166626,0.08365645189769566
baseball,NeuralNetFastAI,1206,134,3,0.07686833587557781,0.14368622006392603,0.04679372161626816,0.9477611780166626,0.08053127699531615
baseball,NeuralNetTorch,1206,134,3,0.08772407090244175,0.16374054118936662,0.03989807516336441,0.9402984976768494,0.07149162306450307
baseball,RandomForest,1206,134,3,0.0784600591361504,0.15224087047765908,0.041733138263225555,0.9626865386962891,0.029014958068728447
baseball,XGBoost,1206,134,3,0.07770263749548231,0.14951986095039133,0.051863815635442734,0.9477611780166626,0.05647471291013062
car,CatBoost,1555,173,4,0.004685289754880075,0.021309354201133824,0.019557125866413116,1.0,0.13354867394082248
car,ExtraTrees,1555,173,4,0.01631966066215887,0.04554885098304187,0.024187235161662102,0.9884393215179443,0.026182512985542417
car,LightGBM,1555,173,4,0.0017721286941087264,0.015060156122449597,0.014439347200095654,1.0,0.0555883280467242
car,LinearModel,1555,173,4,0.08091244305477364,0.13654269355772622,0.050018858164548874,0.9248554706573486,0.0673331271391362
