dataset,model,cal_size,test_size,n_classes,CatBoost_brier,CatBoost_logloss,CatBoost_ece-15,CatBoost_accuracy,CatBoost_time
connect-4,RandomForest,60801,6756,3,0.26010179080292656,0.46842097212354783,0.010104579851031303,0.818087637424469,12.742778728948906
connect-4,XGBoost,60801,6756,3,0.1768806922579556,0.3161251648426128,0.011560659855604172,0.8725576996803284,10.677343748975545
dilbert,CatBoost,9000,1000,5,0.022650883144358022,0.04403777098883595,0.005427332129329443,0.9860000014305115,3.466808611061424
dilbert,ExtraTrees,9000,1000,5,0.03390630362857729,0.06908866569137959,0.008444895967841148,0.9769999980926514,5.3509827558882535
dilbert,LightGBM,9000,1000,5,0.010946623722581388,0.024948595580225358,0.004453545901924372,0.9929999709129333,2.640530484961346
dilbert,LinearModel,9000,1000,5,0.09022865082049347,0.1647414061413636,0.020560670644044876,0.9390000104904175,4.262992868898436
dilbert,NeuralNetFastAI,9000,1000,5,0.01896743014717479,0.03689763180114937,0.00798531249165535,0.9860000014305115,4.158272497123107
dilbert,NeuralNetTorch,9000,1000,5,0.013752035438535481,0.02993902599677201,0.013535505160689354,0.9909999966621399,3.0976168159395456
dilbert,RandomForest,9000,1000,5,0.05482105041354621,0.10863093076851923,0.008058086968958378,0.9649999737739563,4.831670525018126
dilbert,XGBoost,9000,1000,5,0.017962515797064756,0.038343916987905506,0.004974094219505787,0.9879999756813049,3.4120926270261407
dna,CatBoost,2867,319,3,0.06470301503491063,0.12511985044705126,0.020923344418406487,0.9592476487159729,1.0509049349930137
dna,ExtraTrees,2867,319,3,0.07562855163371289,0.15444750081852893,0.0375424362719059,0.962382435798645,1.2640050519257784
dna,LightGBM,2867,319,3,0.07274516029907606,0.14018680966512392,0.017890017479658127,0.9529780745506287,1.4064788569230586
dna,LinearModel,2867,319,3,0.12339259015005662,0.2351138471005412,0.033515769988298416,0.92476487159729,0.8512399811297655
dna,NeuralNetFastAI,2867,319,3,0.08035859904794342,0.15807122355921815,0.0309448204934597,0.9404388666152954,0.9704513170290738
dna,NeuralNetTorch,2867,319,3,0.0850362534226646,0.1617843241115839,0.02443830668926239,0.9435736536979675,0.9050476171541959
dna,RandomForest,2867,319,3,0.0891762924119897,0.16657468333215691,0.025142261758446693,0.9404388666152954,0.9860435780137777
dna,XGBoost,2867,319,3,0.06849511147042636,0.1352949472129433,0.020499123260378838,0.9561128616333008,1.250493431929499
eucalyptus,CatBoost,662,74,5,0.43688711160353205,0.7277319981202541,0.09592611342668533,0.6891891956329346,0.9027736249845475
eucalyptus,ExtraTrees,662,74,5,0.37302471094560624,0.6217428062740492,0.06972061842679977,0.7162162065505981,0.6936702099628747
eucalyptus,LightGBM,662,74,5,0.3717124818549317,0.6314403960693749,0.15180887281894684,0.7432432174682617,0.7738994709216058
eucalyptus,LinearModel,662,74,5,0.44784531675204053,0.7565580264577659,0.17606686055660248,0.6756756901741028,0.7310201439540833
eucalyptus,NeuralNetFastAI,662,74,5,0.4075942091101121,0.6611198861020524,0.09650938212871552,0.6891891956329346,0.826428301865235
eucalyptus,NeuralNetTorch,662,74,5,0.4157397036799179,0.6653063170270967,0.09932906180620193,0.6486486196517944,0.8658995919395238
eucalyptus,RandomForest,662,74,5,0.3767522824244708,0.6394926072392101,0.1087065041065216,0.7162162065505981,0.7025581239722669
eucalyptus,XGBoost,662,74,5,0.39069003660927654,0.6669066065723901,0.05596350133419037,0.7297297120094299,0.8755157000850886
