dataset,model,cal_size,test_size,n_classes,ETS_brier,ETS_logloss,ETS_ece-15,ETS_accuracy,ETS_time
autoUniv-au6-750,NeuralNetTorch,675,75,8,0.8517103536299492,1.9917074327726194,0.04311512038111687,0.2133333384990692,0.009107669116929173
autoUniv-au6-750,RandomForest,675,75,8,0.7860429403261302,1.8429702795388858,0.07391712814569473,0.3866666555404663,0.011596155818551779
autoUniv-au6-750,XGBoost,675,75,8,0.8230880189199127,1.9357785498833928,0.2074899971485138,0.4000000059604645,0.011236777063459158
autoUniv-au7-1100,CatBoost,990,110,5,0.7271489302890563,1.403612987794166,0.1725062131881714,0.4363636374473572,0.007792640943080187
autoUniv-au7-1100,ExtraTrees,990,110,5,0.7484376875862054,1.458376430090782,0.07935944944620132,0.38181817531585693,0.0060811887960880995
autoUniv-au7-1100,LightGBM,990,110,5,0.7190132579218197,1.3922905615325427,0.09916560351848602,0.4000000059604645,0.007892071036621928
autoUniv-au7-1100,LinearModel,990,110,5,0.7685714744474401,1.5180151275911202,0.1192215085029602,0.37272727489471436,0.008046366972848773
autoUniv-au7-1100,NeuralNetFastAI,990,110,5,0.7387716282459477,1.4342024643343352,0.06713035702705383,0.3636363744735718,0.01217736303806305
autoUniv-au7-1100,NeuralNetTorch,990,110,5,0.7270843523956316,1.4165092670950425,0.06281241029500961,0.37272727489471436,0.0071824840269982815
autoUniv-au7-1100,RandomForest,990,110,5,0.7180725788411929,1.4039481806434306,0.10508351027965546,0.3909091055393219,0.010130414040759206
autoUniv-au7-1100,XGBoost,990,110,5,0.7076156247956953,1.3679099753091541,0.12006855756044388,0.3909091055393219,0.006147752050310373
autoUniv-au7-700,CatBoost,630,70,3,0.5902830987701491,0.9724880430202514,0.23450781404972076,0.5142857432365417,0.004875845974311233
autoUniv-au7-700,ExtraTrees,630,70,3,0.5810033109568219,0.960810230832706,0.17635689675807953,0.44285714626312256,0.004457869101315737
autoUniv-au7-700,LightGBM,630,70,3,0.5590264950284354,0.9272032468981952,0.11040495336055756,0.48571428656578064,0.0048819840885698795
autoUniv-au7-700,LinearModel,630,70,3,0.6724627482875528,1.1071356578549783,0.117222361266613,0.3571428656578064,0.01436767098493874
autoUniv-au7-700,NeuralNetFastAI,630,70,3,0.6162854895846641,1.0230723463204612,0.05901233106851578,0.4714285731315613,0.005687989993020892
autoUniv-au7-700,NeuralNetTorch,630,70,3,0.6272386716020452,1.036390733992496,0.09393592178821564,0.4285714328289032,0.005375066073611379
autoUniv-au7-700,RandomForest,630,70,3,0.5457933056244483,0.893027977828045,0.10155189782381058,0.5285714268684387,0.005393024068325758
autoUniv-au7-700,XGBoost,630,70,3,0.565850420722731,0.9369878265782416,0.14867523312568665,0.5,0.0076418109238147736
balance-scale,CatBoost,562,63,3,0.049420195590846226,0.10694220732234067,0.036301158368587494,0.9682539701461792,0.007311034016311169
balance-scale,ExtraTrees,562,63,3,0.14433545497662043,0.36703615125719524,0.10648071020841599,0.8888888955116272,0.013640312943607569
balance-scale,LightGBM,562,63,3,0.057477230382101424,0.11137683143862705,0.058840811252593994,0.9682539701461792,0.00522490288130939
balance-scale,LinearModel,562,63,3,0.09523293375586682,0.17340860964281044,0.05326532572507858,0.8888888955116272,0.006800903007388115
balance-scale,NeuralNetFastAI,562,63,3,0.0168530295213402,0.032581446053081574,0.018587922677397728,0.9841269850730896,0.011369891930371523
balance-scale,NeuralNetTorch,562,63,3,0.0012677148043276475,0.006258216923651388,0.005805475637316704,1.0,0.004434278002008796
balance-scale,RandomForest,562,63,3,0.13888701356733324,0.32862195195904487,0.109103262424469,0.9047619104385376,0.009110447950661182
balance-scale,XGBoost,562,63,3,0.04819358891398822,0.09536544911536031,0.0469232052564621,0.9523809552192688,0.012479875003919005
baseball,CatBoost,1206,134,3,0.07061098405200418,0.1436118382316592,0.040947187691926956,0.9626865386962891,0.006203251890838146
baseball,ExtraTrees,1206,134,3,0.07195781439613254,0.1381659110768348,0.028785666450858116,0.9626865386962891,0.006309175165370107
baseball,LightGBM,1206,134,3,0.07242981809156791,0.1397810044888571,0.0294346883893013,0.9552238583564758,0.006354599958285689
