dataset,model,cal_size,test_size,n_classes,VS_brier,VS_logloss,VS_ece-15,VS_accuracy,VS_time
cmc,NeuralNetTorch,1325,148,3,0.5031312704086304,0.8490063548088074,0.10456674546003342,0.6216216087341309,0.022463523084297776
cmc,RandomForest,1325,148,3,0.50455242395401,0.8478980660438538,0.062407102435827255,0.587837815284729,0.011357677169144154
cmc,XGBoost,1325,148,3,0.5003306865692139,0.8473264575004578,0.08625660091638565,0.5743243098258972,0.018273953115567565
cnae-9,CatBoost,972,108,9,0.07263918966054916,0.1793682873249054,0.04089416563510895,0.9537037014961243,0.04854075191542506
cnae-9,ExtraTrees,972,108,9,0.06094794347882271,0.14299194514751434,0.049643922597169876,0.9537037014961243,0.15831040008924901
cnae-9,LightGBM,972,108,9,0.04404224455356598,0.11405808478593826,0.039071258157491684,0.9722222089767456,0.04047123808413744
cnae-9,LinearModel,972,108,9,0.05929875001311302,0.13775573670864105,0.03636729717254639,0.9537037014961243,0.1386002239305526
cnae-9,NeuralNetFastAI,972,108,9,0.050552383065223694,0.10381415486335754,0.030852342024445534,0.9537037014961243,0.04031528905034065
cnae-9,NeuralNetTorch,972,108,9,0.05354772135615349,0.11541984975337982,0.03269617259502411,0.9629629850387573,0.07292034197598696
cnae-9,RandomForest,972,108,9,0.060695357620716095,0.16436518728733063,0.059802714735269547,0.9629629850387573,0.15262351697310805
cnae-9,XGBoost,972,108,9,0.08266264200210571,0.1808798462152481,0.049754850566387177,0.9351851940155029,0.045691746985539794
collins,CatBoost,900,100,30,0.7995859384536743,2.0822713375091553,0.07388828694820404,0.3100000023841858,0.05647688405588269
collins,ExtraTrees,900,100,30,0.8294821977615356,2.171433448791504,0.0769071877002716,0.23999999463558197,0.09280042303726077
collins,LightGBM,900,100,30,0.8063763380050659,2.126204013824463,0.05983360484242439,0.3100000023841858,0.07220219518058002
collins,LinearModel,900,100,30,0.8095914721488953,2.1400933265686035,0.12918396294116974,0.36000001430511475,0.07847154187038541
collins,NeuralNetFastAI,900,100,30,0.7961095571517944,2.0646369457244873,0.11097269505262375,0.3700000047683716,0.062289500841870904
collins,NeuralNetTorch,900,100,30,0.7787870168685913,2.01364803314209,0.07338599115610123,0.33000001311302185,0.0750434750225395
collins,RandomForest,900,100,30,0.8249516487121582,2.1870105266571045,0.11548516154289246,0.25999999046325684,0.10133856302127242
collins,XGBoost,900,100,30,0.822949230670929,2.258777141571045,0.11890159547328949,0.28999999165534973,0.08399343094788492
connect-4,CatBoost,60801,6756,3,0.17734462022781372,0.3187253773212433,0.01282708253711462,0.8753700256347656,0.16661944496445358
connect-4,ExtraTrees,60801,6756,3,0.24985821545124054,0.4501490890979767,0.012148805893957615,0.8226761221885681,0.18581338902004063
connect-4,LightGBM,60801,6756,3,0.1775127351284027,0.3197169899940491,0.01313512958586216,0.8734458088874817,0.1641651620157063
connect-4,LinearModel,60801,6756,3,0.33452674746513367,0.5944727063179016,0.012915857136249542,0.757844865322113,0.18617479200474918
connect-4,NeuralNetFastAI,60801,6756,3,0.16660375893115997,0.29924362897872925,0.01755302958190441,0.8833629488945007,0.13522966601885855
connect-4,NeuralNetTorch,60801,6756,3,0.17500481009483337,0.3138577938079834,0.02228679321706295,0.8784784078598022,0.22079441812820733
connect-4,RandomForest,60801,6756,3,0.26074352860450745,0.4715643525123596,0.01642983965575695,0.8148312568664551,0.24371025385335088
connect-4,XGBoost,60801,6756,3,0.17840924859046936,0.320637583732605,0.01560339517891407,0.8738898634910583,0.15302302106283605
dilbert,CatBoost,9000,1000,5,0.02455395832657814,0.046984098851680756,0.007516277953982353,0.984000027179718,0.06895766290836036
dilbert,ExtraTrees,9000,1000,5,0.03646830841898918,0.07151618599891663,0.011579643934965134,0.9750000238418579,0.13970375200733542
