dataset,model,cal_size,test_size,n_classes,Dirichlet_brier,Dirichlet_logloss,Dirichlet_ece-15,Dirichlet_accuracy,Dirichlet_time
eucalyptus,LinearModel,662,74,5,0.4434400315759732,0.7317752604982205,0.07617218047380447,0.6351351141929626,1.5580434598959982
eucalyptus,NeuralNetFastAI,662,74,5,0.40317166187305303,0.6403680683929327,0.0667632520198822,0.6891891956329346,0.6829039799049497
eucalyptus,NeuralNetTorch,662,74,5,0.42260650478411677,0.6681462667174141,0.08013016730546951,0.6486486196517944,0.5903495179954916
eucalyptus,RandomForest,662,74,5,0.39313371035994876,0.6731685399153609,0.08317101001739502,0.6756756901741028,0.6862301928922534
eucalyptus,XGBoost,662,74,5,0.39905781566267895,0.676514814578066,0.06089035049080849,0.7162162065505981,0.7124342429451644
eye_movements,CatBoost,9842,1094,3,0.35170375656576675,0.5944146845653238,0.03826737403869629,0.7385740280151367,5.858633843017742
eye_movements,ExtraTrees,9842,1094,3,0.3188579961295568,0.5467666064201049,0.03568695858120918,0.7769652605056763,0.5840507750399411
eye_movements,LightGBM,9842,1094,3,0.2784776640076014,0.4859233468411569,0.037020668387413025,0.809872031211853,0.5679286429658532
eye_movements,LinearModel,9842,1094,3,0.5635093541272024,0.9167698156859206,0.028198441490530968,0.5091407895088196,0.36451514693908393
eye_movements,NeuralNetFastAI,9842,1094,3,0.43271924218164565,0.7195788132677523,0.04538238048553467,0.6709323525428772,0.4827816931065172
eye_movements,NeuralNetTorch,9842,1094,3,0.4169338695815574,0.6944607940264116,0.06644676625728607,0.6910420656204224,0.47919796500355005
eye_movements,RandomForest,9842,1094,3,0.3821662065829435,0.6612280078638294,0.03904270753264427,0.7184643745422363,0.5995222930796444
eye_movements,XGBoost,9842,1094,3,0.31802675013560106,0.54534679426875,0.03525973856449127,0.7696526646614075,0.4870262879412621
fabert,CatBoost,7413,824,7,0.3515421594263558,0.7030325953149374,0.043096642941236496,0.7305825352668762,12.958716070977971
fabert,ExtraTrees,7413,824,7,0.3697261278297095,0.7369122187090478,0.040315791964530945,0.7111650705337524,1.3826038830447942
fabert,LightGBM,7413,824,7,0.35281457701988234,0.6938077808471989,0.053655948489904404,0.7220873832702637,1.3984448488336056
fabert,LinearModel,7413,824,7,0.4794127329017824,0.9797021487396326,0.06548525393009186,0.6286407709121704,2.2411215910688043
fabert,NeuralNetFastAI,7413,824,7,0.3834400120600872,0.7725410350882258,0.04207281768321991,0.707524299621582,1.9003455599304289
fabert,NeuralNetTorch,7413,824,7,0.4168483560818379,0.8443408787761599,0.07976775616407394,0.6953883767127991,1.940254207001999
fabert,RandomForest,7413,824,7,0.3810154701169788,0.7741436549868181,0.03655841574072838,0.7063106894493103,1.1225654161535203
fabert,XGBoost,7413,824,7,0.3541020861002195,0.7191548968911399,0.04830988496541977,0.731796145439148,1.4084906838834286
first-order-theorem-proving,CatBoost,5506,612,6,0.5048799400209052,1.037696676374036,0.056439485400915146,0.6258170008659363,13.215962680988014
first-order-theorem-proving,ExtraTrees,5506,612,6,0.5123606249130489,1.0588476384846817,0.03277335315942764,0.601307213306427,0.7389415400102735
first-order-theorem-proving,LightGBM,5506,612,6,0.5099120260213575,1.0507775220521245,0.042445939034223557,0.6111111044883728,0.7311048901174217
first-order-theorem-proving,LinearModel,5506,612,6,0.6450622880574497,1.3725204934482043,0.06266335397958755,0.48366013169288635,0.7294097628910094
first-order-theorem-proving,NeuralNetFastAI,5506,612,6,0.5558972440718112,1.154580965800878,0.06178707629442215,0.5751634240150452,0.7324204000178725
first-order-theorem-proving,NeuralNetTorch,5506,612,6,0.5405005820319218,1.11800726962274,0.04217027127742767,0.5702614188194275,0.7303563109599054
first-order-theorem-proving,RandomForest,5506,612,6,0.5096518794582319,1.0536327442432267,0.03489343822002411,0.6143791079521179,0.7283312948420644
first-order-theorem-proving,XGBoost,5506,612,6,0.5040165148541533,1.0390545796764297,0.044348299503326416,0.6241829991340637,0.7386810169555247
har,CatBoost,9269,1030,6,0.004341441386479184,0.008065190281569766,0.004322431981563568,0.9961165189743042,8.111558506963775
har,ExtraTrees,9269,1030,6,0.017635894990324804,0.03107162760433765,0.010765360668301582,0.9873786568641663,2.4311043007764965
har,LightGBM,9269,1030,6,0.002099083338103242,0.004608205390873394,0.0024500496219843626,0.9990290999412537,3.160075208870694
har,LinearModel,9269,1030,6,0.01565217478679191,0.028023443589719577,0.007067330647259951,0.9893203973770142,1.9536383592057973
har,NeuralNetFastAI,9269,1030,6,0.006854868552748662,0.014048733471575817,0.007731158286333084,0.9970873594284058,2.206279414938763
har,NeuralNetTorch,9269,1030,6,0.007141708407187636,0.01330288146495775,0.0046262252144515514,0.9951456189155579,1.9570200759917498
har,RandomForest,9269,1030,6,0.028853413620326604,0.05164245883679634,0.005858869291841984,0.9805825352668762,2.2011916160117835
har,XGBoost,9269,1030,6,0.0051828394513850325,0.009671400710129986,0.004264985676854849,0.9970873594284058,1.9438125919550657
isolet,CatBoost,7017,780,26,0.06907669276496722,0.12866903256138285,0.013428634032607079,0.9512820243835449,110.63958857906982
isolet,ExtraTrees,7017,780,26,0.09219600749186842,0.2142533547782275,0.011326096951961517,0.9384615421295166,118.61688305996358
isolet,LightGBM,7017,780,26,0.05028253107197404,0.12432069269760934,0.010948358103632927,0.9666666388511658,108.04029480810277
isolet,LinearModel,7017,780,26,0.06188853718222944,0.1483464541522441,0.009852584451436996,0.9653846025466919,118.15559720504098
isolet,NeuralNetFastAI,7017,780,26,0.04344942217229183,0.08610885508347131,0.010711122304201126,0.9679487347602844,117.99765701405704
isolet,NeuralNetTorch,7017,780,26,0.05823249146066352,0.1355666493321113,0.019128359854221344,0.9705128073692322,106.47587222419679
isolet,RandomForest,7017,780,26,0.11610818150314034,0.2613857561848808,0.018910977989435196,0.9256410002708435,95.09690050105564
isolet,XGBoost,7017,780,26,0.06403157218608849,0.1332905089801913,0.010976031422615051,0.9538461565971375,94.36679950496182
jungle_chess_2pcs_raw_endgame_complete,CatBoost,40337,4482,3,0.16339806952082506,0.24751740095792607,0.0388704389333725,0.8623382449150085,5.6954706439282745
jungle_chess_2pcs_raw_endgame_complete,ExtraTrees,40337,4482,3,0.18650011860319343,0.288129391807208,0.05871226266026497,0.8255243301391602,0.7364335828460753
jungle_chess_2pcs_raw_endgame_complete,LightGBM,40337,4482,3,0.14239675658526002,0.21365988617417928,0.04749516025185585,0.8663542866706848,0.7475277727935463
jungle_chess_2pcs_raw_endgame_complete,LinearModel,40337,4482,3,0.4302239257175219,0.7253299915970514,0.0172464270144701,0.6807228922843933,0.7518441730644554
jungle_chess_2pcs_raw_endgame_complete,NeuralNetFastAI,40337,4482,3,0.10396379317754742,0.15511196598902657,0.017626557499170303,0.9065149426460266,0.913808812154457
jungle_chess_2pcs_raw_endgame_complete,NeuralNetTorch,40337,4482,3,0.025361772960732703,0.045398114250916125,0.016972940415143967,0.9843819737434387,0.9153084589634091
jungle_chess_2pcs_raw_endgame_complete,RandomForest,40337,4482,3,0.19007666718395863,0.29493737519623325,0.054805874824523926,0.8206157684326172,0.5654845479875803
jungle_chess_2pcs_raw_endgame_complete,XGBoost,40337,4482,3,0.13742660032524215,0.20606745893664213,0.03246428444981575,0.879964292049408,0.9158435319550335
kr-vs-k,CatBoost,25250,2806,18,0.11804473674533025,0.23658195788562733,0.030210210010409355,0.9269422888755798,125.42281368118711
kr-vs-k,ExtraTrees,25250,2806,18,0.17024726835446657,0.39135101792316795,0.053970154374837875,0.8909479975700378,129.15160429407842
kr-vs-k,LightGBM,25250,2806,18,0.11398162565972483,0.22565983867151213,0.03776826336979866,0.9265859127044678,141.84567120694555
kr-vs-k,LinearModel,25250,2806,18,0.7716409852989408,1.772514239515092,0.034464843571186066,0.3677833080291748,90.29817930608988
kr-vs-k,NeuralNetFastAI,25250,2806,18,0.15473661641708714,0.2833512042623052,0.03765013441443443,0.8923735022544861,116.0489905430004
kr-vs-k,NeuralNetTorch,25250,2806,18,0.11336785928218426,0.21144093034597555,0.045147042721509933,0.9258731007575989,115.97900256095454
kr-vs-k,RandomForest,25250,2806,18,0.1713949687245693,0.399634347320341,0.05899742990732193,0.8923735022544861,116.24628160498105
kr-vs-k,XGBoost,25250,2806,18,0.10674598584587836,0.20851072535804047,0.030963122844696045,0.935139000415802,116.05128715792671
led24,CatBoost,2880,320,10,0.3987813389487895,0.8117597376596347,0.0628359392285347,0.7124999761581421,11.530550868017599
led24,ExtraTrees,2880,320,10,0.4049885056125708,0.8218635832611472,0.09941373020410538,0.71875,1.2857608569320291
led24,LightGBM,2880,320,10,0.4022300949923313,0.8204305579678998,0.07279084622859955,0.7124999761581421,1.305511340033263
led24,LinearModel,2880,320,10,0.39619804456680213,0.8030828808635443,0.07611826062202454,0.7093750238418579,1.015061714919284
led24,NeuralNetFastAI,2880,320,10,0.38984335398813186,0.8024502052389311,0.06472848355770111,0.7124999761581421,1.2831771611236036
led24,NeuralNetTorch,2880,320,10,0.39117969348653886,0.797018891199498,0.06576738506555557,0.7093750238418579,1.287361714988947
led24,RandomForest,2880,320,10,0.39653438163755506,0.8038966960023028,0.0779203325510025,0.715624988079071,1.293440693989396
led24,XGBoost,2880,320,10,0.3986958735723917,0.8133441840902578,0.07056426256895065,0.703125,1.2867394590284675
letter,CatBoost,18000,2000,26,0.03299729840341871,0.06755247055416412,0.006198004353791475,0.9779999852180481,256.3828154220246
letter,ExtraTrees,18000,2000,26,0.049720781356473336,0.10803337629950055,0.01356909703463316,0.9700000286102295,257.6289353889879
letter,LightGBM,18000,2000,26,0.03149120588890408,0.06787797383482132,0.010292054153978825,0.9800000190734863,254.57721682917327
letter,LinearModel,18000,2000,26,0.2652002609061977,0.6661832563387491,0.05440308153629303,0.8144999742507935,285.0213611428626
letter,NeuralNetFastAI,18000,2000,26,0.022847030377997086,0.04848765572932594,0.009044775739312172,0.9850000143051147,313.1943852400873
letter,NeuralNetTorch,18000,2000,26,0.022875608087715903,0.04661631709776998,0.007168486714363098,0.9850000143051147,226.5692834299989
letter,RandomForest,18000,2000,26,0.06054536921637992,0.13856059614082786,0.013688743114471436,0.9610000252723694,228.0657718719449
letter,XGBoost,18000,2000,26,0.03503032570700617,0.07624712973750787,0.006550043821334839,0.9769999980926514,226.243294615997
mfeat-factors,CatBoost,1800,200,10,0.04281407175821019,0.100426500640766,0.020353032276034355,0.9800000190734863,6.382615512004122
mfeat-factors,ExtraTrees,1800,200,10,0.0481980158096446,0.10578338757333458,0.024723902344703674,0.9750000238418579,1.536256437888369
mfeat-factors,LightGBM,1800,200,10,0.03985593492048912,0.08723139628598255,0.017196709290146828,0.9750000238418579,1.5683884320314974
mfeat-factors,LinearModel,1800,200,10,0.0324156659570397,0.06307270694739849,0.0177224799990654,0.9800000190734863,1.5674803459551185
mfeat-factors,NeuralNetFastAI,1800,200,10,0.0279234020169063,0.056118830228061606,0.017119036987423897,0.9800000190734863,1.3782278869766742
mfeat-factors,NeuralNetTorch,1800,200,10,0.029826883674200177,0.0764657618919525,0.017369801178574562,0.9800000190734863,1.5484265950508416
